Zone,Species,Season,Limits
1,Aggregate Limits for Trout and Salmon,Not specified,S-5 and C-2; total daily catch
1,Brook Trout,January 1 to September 30,S-5 and C-2; not more than 1 greater than 40 cm
1,Lake Sturgeon,January 1 to April 30 and July 1 to December 31,S-0 and C-0
1,Lake Trout,open all year,S-3 and C-1
1,Lake Whitefish,open all year,S-12 and C-6
1,Northern Pike,open all year,"S-6; not more than 2 greater than 61 cm, of which not more than 1 greater than 86 cm, and C-2; not more than 1 greater than 61 cm, none greater than 86 cm"
1,Walleye and Sauger combined,open all year,S-4 and C-2; not more than 1 greater than 46 cm
1,Yellow Perch,open all year,S-50 and C-25
2,Northern Pike,open all year,S-4 and C-2; none between 70 cm to
2,Aggregate Limits for Trout and Salmon,Not specified,S-5 and C-2; total daily catch and no size limit rest of season and C-1; any
2,Brook Trout,January 1 to Labour Day,S-5 and C-2; not more than 1 greater than 30 cm
2,Brown Trout,open all year,S-5 and C-2
2,Lake Sturgeon,January 1 to April 30 and July 1 to December 31,S-0 and C-0
2,Lake Trout,January 1 to September 30,S-2; not more than 1 greater than 56 cm from September 1 to September
2,Lake Whitefish,open all year,S-12 and C-6
2,Largemouth and Smallmouth Bass combined,open all year,S-2 and C-1; must be less than 35
2,Rainbow Trout,open all year,S-5 and C-2
2,Splake,open all year,S-5 and C-2
2,Sunfish,open all year,S-50 and C-25
2,Walleye and Sauger combined,January 1 to April 14 and third Saturday in May to December 31,S-4 and C-2; not more than 1 greater than 46 cm
2,Yellow Perch,open all year,S-50 and C-25
2,Muskellunge,third Saturday in June to December 15,S-1; must be greater than 91 cm and C-0
3,Aggregate Limits for Trout and Salmon,Not specified,S-5 and C-2; total daily catch
3,Brook Trout,January 1 to September 15,S-5 and C-2
3,Lake Sturgeon,January 1 to April 15 and July 1 to December 31,S-0 and C-0
3,Lake Trout,January 1 to September 30,S-3 and C-1
3,Lake Whitefish,open all year,S-12 and C-6
3,Largemouth and Smallmouth Bass combined,open all year,S-6 and C-2
3,Northern Pike,open all year,S-6; not more than 2 greater th
3,Splake,open all year,S-5 and C-2
3,Sunfish,open all year,S-50 and C-25
3,Walleye and Sauger combined,January 1 to April 14 and third Saturday in May to December 31,S-4 and C-2; not more than 1 greater than 46 cm
3,Yellow Perch,open all year,S-50 and C-25
4,Aggregate Limits for Trout and Salmon,Not specified,"S-5 and C-2; total daily catch and to December 31, S-4 and C-2; no size limit waters from July 1 to November 30"
4,Muskellunge,third Saturday in June to December 15,"S-1; must be greater than 102 cm, and C-0"
